date,actual_mean_temp,actual_min_temp,actual_max_temp,average_min_temp,average_max_temp,record_min_temp,record_max_temp,record_min_temp_year,record_max_temp_year,actual_precipitation,average_precipitation,record_precipitation
2014-07-08,83,74,92,75,93,68,104,1892,1980,0,0.15,1.49
2014-07-10,83,73,93,75,93,65,101,1893,1980,0,0.14,1.75
2014-07-11,83,72,94,75,93,64,103,1905,1980,0,0.13,3.08
2014-07-12,84,74,94,75,93,65,104,1891,1980,0,0.12,5.19
2014-07-15,82,75,89,75,94,64,103,1967,2000,0.06,0.12,4.32
2014-07-18,81,75,87,75,94,67,102,1974,1980,0.04,0.11,2.85
2014-07-21,87,77,96,75,94,65,101,1989,2000,0,0.1,1.09
2014-07-23,86,76,95,75,94,64,101,1970,1980,0.07,0.11,2.36
2014-07-24,84,73,94,75,94,68,101,1972,1954,0.01,0.1,2.09
2014-07-25,85,74,95,75,94,65,102,1894,1964,0,0.1,3.74
2014-08-01,80,73,87,75,95,67,103,1984,1998,0.01,0.1,2.1
2014-08-03,81,72,89,75,95,66,103,1949,1998,0,0.1,1.77
2014-08-06,85,75,94,75,95,64,101,1891,1947,0,0.11,1.2
2014-08-10,86,78,94,75,95,62,104,1989,1962,0,0.11,2.88
2014-08-11,86,75,97,75,95,65,102,1989,2011,0.25,0.1,2.72
2014-08-12,87,76,97,75,95,64,105,1989,1962,0,0.11,1.41
2014-08-15,86,75,96,75,95,61,101,2004,1994,0,0.11,2.74
2014-08-20,85,74,96,75,95,65,107,1976,1909,0.01,0.13,1.8
2014-08-26,86,74,97,74,94,57,104,1891,2011,0,0.14,1.66
2014-08-27,85,75,94,74,94,59,109,1891,2011,0,0.14,8.32
2014-09-01,84,74,93,74,93,63,107,1915,2000,0.36,0.15,2.22
2014-09-03,84,75,93,73,93,60,105,1987,2000,0,0.14,3.2
2014-09-07,84,73,95,72,92,59,98,1891,1963,0.42,0.15,4.55
2014-09-10,87,78,95,72,91,59,99,1988,1993,0,0.16,1.82
2014-09-11,87,76,97,71,91,56,99,1907,1893,0,0.15,4.81
2014-09-16,83,75,91,70,90,53,98,1979,1995,0.12,0.13,1.72
2014-09-18,77,73,81,69,89,54,99,2000,1927,2.31,0.13,2.53
2014-09-26,77,68,86,67,87,49,99,2000,2005,0,0.13,2.86
2014-10-01,83,72,93,65,86,44,99,1984,1900,0.09,0.15,4.62
2014-10-04,68,59,77,64,85,43,95,1975,2002,0,0.17,3.6
2014-10-06,75,65,84,64,85,44,94,1975,1928,0.69,0.17,4.42
2014-10-10,83,75,91,63,84,43,95,1908,1962,0.03,0.17,3.5
2014-10-11,76,66,85,62,83,44,94,1990,1962,0.02,0.18,3.02
2014-10-14,67,54,79,61,83,40,92,1977,1954,0,0.19,4.91
2014-10-16,72,57,87,61,82,41,92,1893,1989,0,0.21,5.17
2014-10-17,73,60,86,61,82,40,93,1977,1895,0,0.2,4.31
2014-10-18,75,63,86,60,82,39,96,1978,1895,0.5,0.21,4.04
2014-10-19,72,62,81,60,81,36,94,1989,2004,0,0.21,1.23
2014-10-23,69,58,80,59,80,40,91,1996,1988,0,0.2,3.79
2014-10-24,68,54,82,59,80,39,92,1908,1931,0,0.19,2.13
2014-10-26,71,56,85,58,79,39,92,1892,2010,0,0.2,2.43
2014-10-29,73,61,84,57,78,39,90,1910,1991,0,0.18,2.45
2014-10-30,67,55,79,57,78,33,89,1917,2004,0,0.17,5.3
2014-10-31,67,55,79,57,78,29,88,1993,2004,0,0.16,3.84
2014-11-01,55,45,65,57,77,35,89,1993,2010,0,0.15,6.25
2014-11-04,72,62,82,56,76,28,89,1991,1988,0,0.16,3.2
2014-11-05,69,64,74,55,76,31,88,1991,1963,1.12,0.16,5.22
2014-11-06,62,58,66,55,76,36,88,1993,1963,0.17,0.15,1.67
2014-11-13,41,36,45,53,73,29,86,1907,2005,0.2,0.14,4.53
2014-11-14,41,34,47,53,73,28,89,1969,1921,0,0.15,1.4
2014-11-15,48,43,53,52,73,25,88,1969,1978,0.3,0.14,2.8
2014-11-18,44,32,55,51,72,28,84,1959,1973,0,0.14,3.36
2014-11-20,61,46,76,51,71,27,84,1969,1977,0.04,0.13,1.85
2014-11-23,71,61,80,50,70,24,85,1975,1973,0.23,0.14,3.81
2014-11-24,56,45,66,49,70,26,84,1970,1910,0,0.13,3.35
2014-11-29,69,60,78,48,68,22,83,1976,2006,0,0.15,3.47
2014-12-07,57,54,59,46,66,24,84,1950,1998,0,0.13,4.95
2014-12-11,64,56,72,45,65,26,83,1957,2007,0.02,0.12,2.85
2014-12-12,66,57,75,45,65,25,82,1989,1948,0,0.13,2.57
2014-12-13,64,54,74,45,65,19,82,1989,1921,0,0.12,2.85
2014-12-16,57,48,66,44,64,19,82,1989,1971,0,0.12,3.05
2014-12-18,64,57,70,44,64,24,82,1996,1980,0.8,0.11,2.14
2014-12-20,52,50,54,44,63,21,81,1996,1951,0,0.12,2.02
2014-12-23,54,48,60,44,63,7,80,1989,1996,0.69,0.13,1.01
2014-12-27,60,46,74,43,63,19,81,1892,1971,0.22,0.11,1.38
2014-12-28,44,41,46,43,63,15,80,1894,1996,0.67,0.11,2.7
2015-01-02,51,47,54,43,63,16,81,1928,2000,0.63,0.1,2.26
2015-01-06,50,34,65,43,62,22,80,1972,1989,0,0.11,3.7
2015-01-11,44,39,49,43,63,12,81,1982,1995,0.66,0.1,2.78
2015-01-12,46,43,49,43,63,11,81,1918,2000,0,0.11,2.27
2015-01-14,42,39,45,43,63,19,82,1982,1971,0,0.11,1.45
2015-01-20,61,45,76,43,63,20,81,1985,2012,0,0.11,1.83
2015-01-22,52,44,60,43,63,15,80,1930,1972,0.87,0.12,2.52
2015-01-23,42,39,44,43,63,14,83,1940,1972,0.03,0.11,2.62
2015-01-27,64,47,81,44,64,19,83,1897,1975,0,0.11,2.86
2015-01-31,53,42,63,44,64,14,82,1949,1911,0,0.11,2.12
2015-02-03,44,41,46,44,64,23,80,1951,2008,0.17,0.1,1.82
2015-02-07,53,37,69,45,65,11,80,1895,1957,0,0.11,1.46
2015-02-08,66,54,77,45,65,10,82,1895,1932,0,0.11,1.84
2015-02-09,69,54,83,45,65,15,86,1933,1962,0,0.11,2
2015-02-13,53,39,66,46,66,6,83,1899,1962,0,0.11,2.99
2015-02-14,61,43,78,46,66,10,83,1899,1911,0,0.11,1.9
2015-02-16,53,37,68,47,66,13,82,1895,1927,0.15,0.12,2.05
2015-02-17,44,34,54,47,67,16,86,1895,1907,0,0.12,0.87
2015-02-18,49,33,64,47,67,19,87,1936,1986,0,0.13,2.09
2015-02-21,70,65,75,48,67,24,89,1978,1996,0,0.12,1.98
2015-02-24,38,33,43,48,68,26,87,1914,1927,0,0.12,1.38
2015-02-26,43,31,55,49,69,26,86,1974,1986,0,0.12,1.51
2015-02-28,47,37,57,49,69,28,90,2002,1940,0.02,0.12,1.44
2015-03-02,54,48,60,50,70,22,91,1980,1909,0.01,0.12,1.55
2015-03-03,68,56,80,50,70,21,86,1943,1893,0,0.11,1.03
2015-03-04,63,43,83,50,70,22,86,2002,1893,0,0.12,4.56
2015-03-12,59,55,62,52,72,24,89,1948,1904,0.33,0.11,4.28
2015-03-14,64,51,77,52,73,29,88,1993,2008,0,0.11,1.82
2015-03-26,62,54,69,55,75,30,94,1955,1928,0.09,0.12,2.23
2015-03-29,70,57,82,55,76,35,90,1894,1974,0,0.1,1.75
2015-03-31,74,64,83,56,77,30,88,1987,1946,0,0.1,1.44
2015-04-03,77,71,82,56,77,31,87,1987,2006,0,0.1,3.09
2015-04-04,67,61,73,56,77,34,88,1987,1897,0,0.1,3.35
2015-04-08,78,71,84,57,78,35,92,1971,1986,0,0.1,3.26
2015-04-11,70,63,77,58,79,38,89,1989,1934,0.13,0.1,1.67
2015-04-12,74,68,80,58,79,41,89,1900,1981,0.14,0.1,4.04
2015-04-15,71,60,81,59,80,38,90,1928,1944,0,0.1,3.05
2015-04-20,67,59,74,61,81,39,93,2013,1987,0,0.11,2.7
2015-04-21,68,56,79,61,81,42,90,1978,1987,0,0.12,3.76
2015-04-30,68,53,82,64,83,42,92,1908,1981,0,0.14,3.2
2015-05-03,70,57,83,64,83,47,93,1978,1890,0,0.16,5.1
2015-05-08,81,77,85,66,85,45,96,1892,1967,0,0.17,2.34
2015-05-19,80,73,86,68,87,50,95,1976,2003,0.02,0.16,6.87
2015-05-22,72,65,79,69,88,48,96,1892,2005,0,0.16,3.1
2015-05-23,79,73,85,69,88,45,95,1892,1996,0.72,0.16,3.99
2015-05-25,77,66,88,70,88,56,95,1979,1927,4.34,0.16,4.34
2015-05-28,80,70,90,70,89,54,98,1901,1906,0,0.17,2.83
2015-05-30,80,69,91,71,89,53,97,1984,1998,0.57,0.17,5.01
2015-05-31,78,69,87,71,90,50,98,1889,1998,0,0.17,3.45
2015-06-02,79,68,90,71,90,55,100,1892,2011,0,0.17,4.03
2015-06-07,83,72,93,72,91,58,99,1970,1903,0,0.18,2.29
2015-06-09,84,74,93,73,91,56,97,1996,1956,0,0.19,2.92
2015-06-13,80,74,86,73,91,57,101,1979,1911,0.35,0.21,3.58
2015-06-15,83,75,90,73,92,55,100,1903,2011,0.14,0.21,5.68
2015-06-21,86,78,93,74,92,59,100,1976,1998,0,0.21,2.04
